original_text,en_token_1,auto_pos_1,gold_pos_1,en_token_2,auto_pos_2,gold_pos_2,en_token_3,auto_pos_3,gold_pos_3,en_token_4,auto_pos_4,gold_pos_4,en_token_5,auto_pos_5,gold_pos_5,en_token_6,auto_pos_6,gold_pos_6,en_token_7,auto_pos_7,gold_pos_7,en_token_8,auto_pos_8,gold_pos_8,en_token_9,auto_pos_9,gold_pos_9,en_token_10,auto_pos_10,gold_pos_10,en_token_11,auto_pos_11,gold_pos_11,en_token_12,auto_pos_12,gold_pos_12,en_token_13,auto_pos_13,gold_pos_13,en_token_14,auto_pos_14,gold_pos_14,en_token_15,auto_pos_15,gold_pos_15
"雖然大多數亞洲遊客都係去呢幾處地方食嘢，但條片拍得好有 feel 拍得好好 。多謝妳哋拍得香港咁靚。Cheers, and 頑張れ!",feel,NOUN,,Cheers,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩位都很美，不同的type。瀏海的那位，鏡頭拉近，真的很美，很像名模,type,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希望你們說話時沒有被香港人side eye,side,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
這個組合也好好看，是小確幸小chill的姐妹組合,chill,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去大館/ 壁畫街可以去 vission bakery 吃 開心果Tart， 在 Bake House 旁邊,Tart,PROPN,,Bake,PROPN,,House,PROPN,,vission,NOUN,,bakery,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By the way 感覺大姐這集的妝容跟以前不太一樣欸！有點紫紫？的感覺嗎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影片中你們住宿夏利酒店是3人一間房嗎？因為我訂booking都只有2人。,booking,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真係好犀利 尤其係本身咁鍾意飲飲食食去social飲酒既人 要忍住唔飲酒唔亂食野仲要日日堅持去gym真係唔係個個做到,social,ADJ,,gym,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我自己都有玩gym玩左7年...結果固然重要...但其實比結果更重要係個一份堅持....proud of you,gym,NOUN,,proud,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
面容睇落好憔悴呀..瘦左之後..都係中意肥少少既torres,torres,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真系減肥期間激勵噶好視頻 never give up,never,NOUN,,give,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講真 day90個樣有啲恐怖 鐘意塊面有肉返少少 但身型係完美嘅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞士官方語個個真係勁 圓周率。。。God 果然唔同世界,God,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來有外國人知道有澳門呢個地方仲知澳門講廣東話 我去外國旅行同十個人講九個人都唔知澳門係邊到 唯一一個知道第一個反應係casino 多謝晒Torres,Torres,PROPN,,casino,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果位讀數ge真心勁 見到佢ge答案我以為係讀語言學,ge,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實問題都不難 但是是很容易忘記的常識題 其實問高中生反而會都知道 因為考試都會記這些 以前小時候也會比賽背圓周率。。。 瑞士那一題常常旅行的人應該會答的出來 或者認識瑞士人 一般會知道是四種語言 最難的是romansh 比較沒人會記得。。。因為說romansh的人口也特別少 只有0.5 記得以前也查過瑞士說什麼語好幾次 但總是忘記。。。這是冷知識,romansh,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拍多d類似影片 love it!!,love,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢集好正 好好笑 尤其是第五題嗰part 可唔可以黎多集,part,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好鐘意呢個系列 好正 the best of school 聽到問題之後懷疑人生,best,NOUN,,school,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BTW，多謝Torres提起澳門????。You are so lovely, Torres！",BTW,PROPN,,Torres,PROPN,,lovely,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之前係美國留學，一提到我來自澳門，好少同學知，得一d同學問，係唔係Now You See Me第二部既取景,Now,PROPN,,See,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希望可以多拍外國大學的影片超棒der!,der,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番黎睇番 哈哈哈第一條入坑嘅video,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torres 鬧示威者係 full of shit,Torres,PROPN,,full,ADJ,,shit,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online shopping送男朋友一件,online,ADJ,,shopping,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼集好正啊 我系甘playback d 答案 我都学到耶啊 多谢,playback,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
格仔衫同著西裝個兩個好charm,charm,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好想再睇多d問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞士的問題很簡單，只要知道上下左右鄰居就ok,ok,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屌，竟然有人話月球，omg 仲話中大d人冇常識架,omg,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800港幣冇人答啱，以為答啱月球嗰班Nursing學生個反應好好笑,Nursing,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:39 淨係同女high five 條仔完全 missed,high,ADJ,,five,NOUN,,missed,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:54 我真係想答... Quit左佢囉 XDD,Quit,PROPN,,XDD,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真係CLS，睇左5分鐘對香港教育表示擔憂 too,CLS,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:34 Umass 唔系麻省理工喎 麻省大學來?,Umass,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月球地球唔識真係crazy,crazy,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所以下次再拍一定要問讀咩major先，00後喺香港讀中學嘅冇可能唔識頭4條，最後一條可能食開西餐先識,major,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我冇讀過大學，除咗最後尾嗰條lamb 同 mutton 嘅分別其他都啱晒,lamb,NOUN,,mutton,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭兩題唔係小學常識題level咩？,level,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"我成日見到有人講：""呢D野唔識.有咩所謂.我又唔係讀呢科.又唔係靠呢樣知識搵食""，或者話：""唔使咁博學""，好心啦.無常識就無常識.唔好咁多藉口.最多承認自己唔識LOR.如果下下都話唔係靠呢樣知識搵食，咁其實大家唔使讀咁多書.六歲入小學已經可以選擇自己想做咩職業先讀.例如我想做programmer，小學就唔使學咩叫昆蟲，太陽系有幾多個星球，只學數學同邏輯就夠。我想做醫生，就算讀到中學都唔知邊個係秦始皇同亞歷山大大帝。我想做作家，就連一個立體既體積都唔使學點計。總係好多人講：""你話呢D係常識者.點去定義呢D係常識"".總之就係有班人有千萬個理由話比人知唔識係應該",LOR,PROPN,,programmer,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從 House Keeping 到 Drag Queen，Torres 下次來 EPISODE 還想挑戰什麼工作 ?,House,PROPN,,EPISODE,PROPN,,Keeping,PROPN,,Drag,PROPN,,Queen,PROPN,,Torres,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因為好少空檔，為咗睇最新中東嗰集，諗住返煲前情提要，啱啱重溫完油王遊香港嗰集，準備開波中東主題新集，先至發現竟然冇咗條片。好sad,sad,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:41 鄭秀文按下dislike button,dislike,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
再見UFO 你千祈唔好錯過呀。我們不是什麼我未睇，但我一定會睇，肯自己揼錢拍自己想拍嘅題材嘅導演，喺香港有幾多個？佢真係好有火，好有heart，一定要支持,heart,PROPN,,UFO,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hebe有taste, Radius真心好正，尤其是你買嘅係黑膠",Hebe,PROPN,,Radius,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自己經營外賣薄餅店，因為one man band關係逢星期一俾自己抖下。以前如果星期一係公眾假期就會照開，但呢兩三年個個一有連假就不見踪影都打定輸數，照放星期一。出到街發現真係少咗好多人，去幫襯嘅店舖都係死氣沈沈。自己都有打算完約之後都唔做一排住，睇唔見之後有咩生機，可能出去打返工壓力唔洗咁大,one,NOUN,,man,PROPN,,band,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔緊要，唔少人出con con片，做呢啲題材仲實際啦！,con,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000個support 呢個系列,support,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我細過喺展昇做part-time，好多人都會覺得店員態度好差但其實佢地都係好人，多謝你去幫襯佢,part,PROPN,,time,PROPN,,part-time,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金禧曬相舖既workshop幾吸引,workshop,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小弟一直睇YT都好少留言，但我覺得今次Hebe諗法，態度都好好，身體力行，忍唔住真係要留個comment????????所有真香港人都要keep住吖，亦希望Hebe長做長有，加油,YT,PROPN,,Hebe,PROPN,,comment,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好有懷舊feel，模型鋪,feel,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多謝政府同機管局，要求人哋同步開，但自己就慣性Delay，咪搞到咁囉,Delay,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"賣俾 三井 改做 LALAPORT 之後一層做 Gundam base, 一層做 Round 1, 一層做 NAMCO, 門口放埋隻九龍高達 即刻包你有人流",Gundam,PROPN,,NAMCO,PROPN,,LALAPORT,PROPN,,base,ADJ,,Round,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
變做亞洲最大體育城，租滑雪場/羽毛球場/籃球場/5人足球場/ 攀岩/ 射箭 / 乜ball物ball，吸多d唔同類型既運動鋪(唔係垃圾outlet)，底層做個大型單車center+餐廳，好似島波海道咁，一年365日都爆啦。而且喺機場附近實好多外國人有興趣黎參觀or hea時間。 淨係講滑雪啦，想練下野都要嘥3個中翻廣州，玩普通sport 就要幫襯炒場狗，羅局長幫下忙啦,ball,ADJ,,outlet,NOUN,,center,NOUN,,hea,NOUN,,sport,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我凈係去過一次，就係帶仔仔去玩上面個playhouse，嗰時兩年前同你條片嘅情況都係一樣,playhouse,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭文字d 咁受歡迎嘅卡通片 ，電影版竟然搵香港人拍， 之後仲要賣返日本上演 ，作為香港人其實都幾proud of呢件事。 劉偉強導演真係好堅。,proud,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
條片仲有度，想睇下11年條路咩樣的人可以入到我度，放心我唔係youtube ，真係得條片乜內容都冇，當年用車cam 影完就朋友幫我整,youtube,NOUN,,cam,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
導演多年後有訪問講過，原來當年日本政府係唔比租借唔approve秋名山拍戲，所以係得D頭頭尾尾借境黎拍，剪接到好似真係系秋名山咁，其實係第二個日本山既山路黎,approve,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your new house is gorgeous!!! 新年快樂 and 恭喜發財!,house,NOUN,,gorgeous,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恭喜托哥100萬fans，999,fans,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想問扥哥：歐洲國家盃就開鑼，你今次會否fly去德國睇波？??,fly,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最后这个Singapore Aunty，我真的非常非常非常感谢她，真的激励了我！！！,Aunty,PROPN,,Singapore,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托哥，不如你去中環都做同樣一輯主題，Compare下睇下點,Compare,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
压轴的Auntie最厉害！感谢制作上传这个video！,Auntie,PROPN,,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"如果香港人撐你嘅話，就會撐你到底好感動！ 香港人表面惡，但係好有義氣！Btw, 好鍾意呢個訪問，無故意搞笑，搞節目效果，好簡單嘅一個訪問，好睇！ 滿滿嘅感動！加油 to everyone!!!",Btw,PROPN,,everyone,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羊人嘅reel我都鐘意睇，我身為一個香港人都無佢去過咁多區搵食。佢每次介紹嘅美食都想去試下，羊人加油呀！,reel,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然沒有見過面，但是我早把羊人當作我的好朋友；每次他出的食評我都第一時間觀看點like 和分享.,like,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好喜歡看羊人的IG reels！,IG,PROPN,,reels,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支持羊人，一直都有follow。,follow,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
係threads經常睇到羊人既post，加油啊希望你同太太係香港生活幸福美滿,threads,NOUN,,post,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路過，剛Subscribed了你們,Subscribed,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
廣東話係我2nd language 但我講到好似麻甩佬咁,language,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢英文係超重嘅American accent 就咁聽聲以為係ABC回流香港 haha,American,PROPN,,accent,NOUN,,ABC,PROPN,,haha,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huge respect!! 廣東話講非常出色，要一個non native speaker 講到咁既程度係好難,Huge,PROPN,,respect,NOUN,,non,NOUN,,native,NOUN,,speaker,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通常外國人講英文嘅時侯會好 Dramatic 估唔到講廣東話嘅時侯佢反而係咁溫柔,Dramatic,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢講廣東話冇口音，respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
把聲好有周慧敏FEEL,FEEL,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我loop左你d廣東話好多次，你把聲好令我著迷，好想同你打牌同你去飲茶,loop,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希望你有睇番大家既comments 啦，你把聲好好聽啊，聽落去好柔和啊... 我由幼稚園學英文學到大學都唔太知學左d 咩，最小一定無你講廣東話咁好，不過我都會繼續努力... 如果你身邊有朋友想學廣東話，希望你都會教佢地丫，等多D人識講廣東話呢，多謝你啊,comments,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我係native speaker都好想follow佢channel,native,ADJ,,speaker,NOUN,,follow,VERB,,channel,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢話要尊重當地語言，唔可以expect人哋識講英文,expect,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omggggg 佢啲廣東話好好呀！！,Omggggg,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叻女！敬禮！Salute!,Salute,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好正，speech way，facial expression都變得廣東化，真香港人,speech,PROPN,,way,NOUN,,facial,ADJ,,expression,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個BGM真係好洗腦,BGM,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有Hilary就要Like! 係英國定香港都咁靚！,Hilary,PROPN,,Like,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主持Hilary表現自然流暢唔重妝唔gel甲，唔like唔得,Hilary,PROPN,,gel,VERB,,like,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聲好聽個妝又淡好自然好舒服 好似錯左重點 ANY肥要支持下段片既,ANY,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉埸Hello 同 BGM好洗腦呀,Hello,PROPN,,BGM,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"個人意見: 條片係好睇, 但一響起個BGM, 真係好想mute聲",BGM,PROPN,,mute,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真係好有女朋友FEEL 如果見到真人好想同佢合照,FEEL,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilary 都幾似 IVE 金秋天，連個 vibe 都似,Hilary,PROPN,,IVE,PROPN,,vibe,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
靚女主持，認得妳兩年前拍過MC嘅MV就好耐冇見過,MC,PROPN,,MV,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btw估唔到廟街小食都咁受歡迎，呢間串燒係宵夜必食,btw,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑髮好Jeng 有TIFA嘅feel,Jeng,PROPN,,TIFA,PROPN,,feel,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"好有誠意, 英國拍片拍到去非洲都唔係人人做到, 未睇先LIKE",LIKE,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"我在美國工作超過三十年，我見到公司計劃請人，一早已經比公司同事安排自己人先interview, 所以話公開，但外人永遠排最後！全世界一樣",interview,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年輕人：不要氣餒，這是一個困難的階般，真是彼此也在捱。揾唔到全職，就揾part-time或臨時工，見多D勢面對日後面對職場大有幫助。與此同時，揾D渠導學番啲AI,part,PROPN,,part-time,NOUN,,AI,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老Best+1 我也是鳳爪派!!!,Best,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幫手share出去 夠十萬view我下次再去秘魯表演食飛機場,share,PROPN,,view,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"秘魯利馬唐人街 Lima la calle Capon, comida de Chifa Peruana! 吾正中呀，唐人街一如以往呃鬼佬?，去Avenue Aviation 新唐人街，咩菜系都有,華人集中地。如果要一次食曬中檔秘魯美食，就去Miraflores 嘅 Larcomar有間Mango Restaurante 嘅 Lunch Buffet，仲有無敵太平洋海景，隔離間Tanta 就一般。",Lima,PROPN,,la,PROPN,,Capon,PROPN,,Larcomar,PROPN,,Mango,PROPN,,Restaurante,PROPN,,Lunch,PROPN,,calle,VERB,,Chifa,PROPN,,Peruana,PROPN,,Avenue,PROPN,,Aviation,PROPN,,Miraflores,PROPN,,Buffet,PROPN,,Tanta,PROPN,
非常underrated 既channel! 欣賞你講野非常清晰，啲shot 拍得又專業！ 加油,underrated,VERB,,channel,VERB,,shot,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我上次去阿根廷識咗對秘魯夫婦，個day tour 食自助餐，佢地喺度食飯，佢地同我講秘魯人都係食飯架,day,NOUN,,tour,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第一次看到youtuber會提醒吹風機跟捲髮器的電壓要注意,youtuber,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"玩賽馬 也可以投注位置的, 即是 第一, 第二, 第三也可以收錢的, 不一定要 跑第一名, 下次可以碰碰運氣 !! Fighting !",Fighting,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
看到你們really made our day!,really,NOUN,,made,NOUN,,day,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可唔可以share下做咩緊緻提拉既機？,share,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可唔可以share吓喺邊度做埋線雙眼皮？,share,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wow.....你好叻好犀利....飛到韓國做醫美,wow,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你個fd每一個表情同眼神都好on point好fun,fd,NOUN,,point,NOUN,,fun,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好鍾意睇你呢個friend，同佢拍多啲片，每條片都搵佢拍,friend,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
打眼既水光針先系終極boss 痛,boss,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可唔可以分享多啲醫美資訊pls thankss,pls,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
請問髮型師叫咩名? 可以點book?,book,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滿分既女仔，不造作，識打扮，出得大場面，夠體面，片剪得好好，背景音樂亦好岩key，BTW第13條裙都岩你，第1條有氣質，第3條夠young活潑，第2條係grad din呢個年紀就好似著到成熟得濟，第4條有小小戰鬥格，純粹個人唔中意，liked,key,PROPN,,BTW,PROPN,,young,PROPN,,grad,PROPN,,din,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咁多個youtuber嘅裙你揀得最靚， 襯得最 好,youtuber,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wa 第一个 好中意你呀jenn 希望你多多更新啦；次次睇你噶video都觉得好嗨森 多地update vlog啦,wa,NOUN,,jenn,PROPN,,video,NOUN,,update,ADJ,,vlog,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個個look都靚 jen出多d片丫 好鐘意睇到你笑,look,PROPN,,jen,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無去到GRADDIN 但都比個LIKE 你 ：P 但見到JENNN你好似咁平時笑番真係好3 KEEP GOING ！,GRADDIN,PROPN,,LIKE,PROPN,,P,NOUN,,JENNN,PROPN,,KEEPGOING,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快滴update啊！miss u so much,update,ADJ,,miss,VERB,,much,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日睇ig先話想知你短頭髮點整理，今晚就出片！good!,ig,NOUN,,good,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自己一個係出面要小心啲呀????一直由六萬幾訂閱去到而家??一直都唔覺得你好做作??反而覺得你真係好真，好樂觀??繼續加油????support you??????,support,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
终于翻嚟啦 未?先 like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成熟左 靚女左 support u all the times ah jenn x 好鍾意睇妳既video!!,jenn,PROPN,,x,PROPN,,support,VERB,,all,VERB,,times,NOUN,,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jenn, 想睇下你既make up collection",Jenn,PROPN,,make,ADJ,,up,ADJ,,collection,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"太耐無update 要投訴你, haha",update,NOUN,,haha,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
這時期好美，女神feel,feel,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希望你可以出片share你點keep fit!!! 好期待,share,NOUN,,keep,VERB,,fit,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可作參考，很好的topic thanks,topic,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenn可唔可以講下點樣keep得咁fit,Jenn,PROPN,,keep,VERB,,fit,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好jealous 冇push up都著得咁靚 身形勁fit,jealous,ADJ,,push,NOUN,,up,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hello 可唔可以拍片介紹你鐘意既 銀包 手袋 背囊 同 accessory 呀??,accessory,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講得超詳細! 拍完口水都乾埋個種:D!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btw 你video件top好靚呀：P,btw,VERB,,video,NOUN,,top,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正考慮買唔買呢個牌子既泳衣，你個video係個好好既參考，thanks！,video,NOUN,,thanks,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好喜欢你的Vedio,Vedio,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
